recheck_id,source_candidate_id,candidate_type,original_reject_reason,surface_form_or_relation,evidence_id,page_no,quote,possible_recovery_reason,recommended_action,review_required
RC0001,t01_e02,entity,subject_or_object_not_found,t01_e02,新型显示白皮书_7f4f945d7c21_p011_paragraph_003,11,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0002,t01_r01,relation,subject_or_object_not_found,t01_r01,新型显示白皮书_7f4f945d7c21_p011_paragraph_003,11,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0003,t01_r03,relation,subject_or_object_not_found,t01_r03,新型显示白皮书_7f4f945d7c21_p016_paragraph_003,16,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0004,t02_e01,entity,subject_or_object_not_found,t02_e01,新型显示白皮书_7f4f945d7c21_p030_heading_001,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0005,t02_e03,entity,quote_not_found,t02_e03,新型显示白皮书_7f4f945d7c21_p011_paragraph_004,11,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0006,t02_r01,relation,subject_or_object_not_found,t02_r01,新型显示白皮书_7f4f945d7c21_p030_heading_001,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0007,t02_r02,relation,quote_not_found,t02_r02,新型显示白皮书_7f4f945d7c21_p011_paragraph_004,11,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0008,t02_r04,relation,subject_or_object_not_found,t02_r04,新型显示白皮书_7f4f945d7c21_p033_paragraph_004,33,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0009,t02_r05,relation,subject_or_object_not_found,t02_r05,新型显示白皮书_7f4f945d7c21_p033_paragraph_004,33,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0010,t03_r02,relation,subject_or_object_not_found,t03_r02,新型显示白皮书_7f4f945d7c21_p030_paragraph_005,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0011,t03_r03,relation,subject_or_object_not_found,t03_r03,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0012,t03_r04,relation,subject_or_object_not_found,t03_r04,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0013,t03_r05,relation,subject_or_object_not_found,t03_r05,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0014,t03_r06,relation,subject_or_object_not_found,t03_r06,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0015,t03_r07,relation,subject_or_object_not_found,t03_r07,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,29,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0016,t03_r08,relation,subject_or_object_not_found,t03_r08,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0017,t04_r03,relation,subject_or_object_not_found,t04_r03,新型显示白皮书_7f4f945d7c21_p030_paragraph_006,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0018,t05_r01,relation,subject_or_object_not_found,t05_r01,新型显示白皮书_7f4f945d7c21_p032_paragraph_005,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0019,t05_r02,relation,subject_or_object_not_found,t05_r02,新型显示白皮书_7f4f945d7c21_p017_paragraph_003,17,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0020,t05_r03,relation,subject_or_object_not_found,t05_r03,新型显示白皮书_7f4f945d7c21_p032_paragraph_005,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0021,t05_r04,relation,subject_or_object_not_found,t05_r04,新型显示白皮书_7f4f945d7c21_p032_paragraph_005,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0022,t05_r05,relation,subject_or_object_not_found,t05_r05,新型显示白皮书_7f4f945d7c21_p032_paragraph_005,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0023,t07_e07,entity,subject_or_object_not_found,t07_e07,新型显示白皮书_7f4f945d7c21_p035_paragraph_002,35,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0024,t07_e11,entity,quote_not_found,t07_e11,新型显示白皮书_7f4f945d7c21_p030_paragraph_005,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0025,t07_e12,entity,quote_not_found,t07_e12,新型显示白皮书_7f4f945d7c21_p016_paragraph_004,16,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0026,t07_r01,relation,subject_or_object_not_found,t07_r01,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0027,t07_r02,relation,subject_or_object_not_found,t07_r02,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0028,t07_r03,relation,subject_or_object_not_found,t07_r03,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0029,t07_r04,relation,subject_or_object_not_found,t07_r04,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0030,t07_r05,relation,subject_or_object_not_found,t07_r05,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0031,t07_r06,relation,subject_or_object_not_found,t07_r06,新型显示白皮书_7f4f945d7c21_p035_paragraph_002,35,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0032,t07_r07,relation,quote_not_found,t07_r07,新型显示白皮书_7f4f945d7c21_p030_paragraph_005,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0033,t07_r08,relation,quote_not_found,t07_r08,新型显示白皮书_7f4f945d7c21_p016_paragraph_004,16,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0034,t09_e08,entity,quote_not_found,t09_e08,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,29,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0035,t09_r01,relation,subject_or_object_not_found,t09_r01,新型显示白皮书_7f4f945d7c21_p016_paragraph_003,16,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0036,t09_r02,relation,subject_or_object_not_found,t09_r02,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,29,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0037,t09_r03,relation,subject_or_object_not_found,t09_r03,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0038,t09_r04,relation,subject_or_object_not_found,t09_r04,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0039,t09_r05,relation,subject_or_object_not_found,t09_r05,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0040,t09_r06,relation,subject_or_object_not_found,t09_r06,新型显示白皮书_7f4f945d7c21_p016_paragraph_003,16,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0041,t10_r01,relation,subject_or_object_not_found,t10_r01,新型显示白皮书_7f4f945d7c21_p003_paragraph_001,3,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0042,t10_r02,relation,subject_or_object_not_found,t10_r02,新型显示白皮书_7f4f945d7c21_p011_paragraph_003,11,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0043,t10_r04,relation,subject_or_object_not_found,t10_r04,新型显示白皮书_7f4f945d7c21_p033_heading_001,33,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0044,t10_r06,relation,subject_or_object_not_found,t10_r06,新型显示白皮书_7f4f945d7c21_p016_heading_001,16,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
